image,Method,result,runTime(:ms)
day1night.jpg,Brenner,18307114.00,343.76
day1night.jpg,Tenengrad,9.87,15.64
day1night.jpg,Laplacian,2.41,0.00
day1night.jpg,SMD,215.01,15.61
day1night.jpg,SMD,12832.52,0.00
day1night.jpg,Energy,25658.10,15.62
day1night.jpg,Entropy,4.78,0.00
day1night.jpg,Vollath,426981667.38,453.13
day1night.jpg,NR_Blur,7.10,421.88
day1night.jpg,Dom,0.52,484.38
day1night.jpg,FFT,0.99,78.13
index.jpg,Brenner,124037537.00,375.00
index.jpg,Tenengrad,53.56,0.00
index.jpg,Laplacian,13.10,0.00
index.jpg,SMD,245.20,15.63
index.jpg,SMD,16875.39,0.00
index.jpg,Energy,33812.73,15.61
index.jpg,Entropy,4.72,0.00
index.jpg,Vollath,583265583.85,328.13
index.jpg,NR_Blur,3.27,406.27
index.jpg,Dom,1.05,515.62
index.jpg,FFT,0.63,78.13
index1.jpg,Brenner,124037537.00,359.40
index1.jpg,Tenengrad,53.56,0.00
index1.jpg,Laplacian,13.10,15.61
index1.jpg,SMD,245.20,0.00
index1.jpg,SMD,16875.39,15.63
index1.jpg,Energy,33812.73,0.00
index1.jpg,Entropy,4.72,0.00
index1.jpg,Vollath,583265583.85,343.77
index1.jpg,NR_Blur,3.27,406.25
index1.jpg,Dom,1.05,515.62
index1.jpg,FFT,0.63,78.13
index10.jpg,Brenner,25000407.00,359.36
index10.jpg,Tenengrad,12.35,0.00
index10.jpg,Laplacian,2.97,0.00
index10.jpg,SMD,254.94,15.63
index10.jpg,SMD,17373.91,0.00
index10.jpg,Energy,34776.06,15.65
index10.jpg,Entropy,4.76,0.00
index10.jpg,Vollath,363521865.58,328.12
index10.jpg,NR_Blur,6.22,406.26
index10.jpg,Dom,0.46,468.74
index10.jpg,FFT,0.99,93.75
index12.jpg,Brenner,329358418.00,359.38
index12.jpg,Tenengrad,81.88,15.63
index12.jpg,Laplacian,20.77,0.00
index12.jpg,SMD,245.99,15.63
index12.jpg,SMD,17816.00,0.00
index12.jpg,Energy,35739.68,0.00
index12.jpg,Entropy,5.14,15.62
index12.jpg,Vollath,814680354.91,328.15
index12.jpg,NR_Blur,2.90,484.38
index12.jpg,Dom,1.04,531.24
index12.jpg,FFT,0.55,109.38
index13.jpg,Brenner,38086974.00,378.05
index13.jpg,Tenengrad,22.69,15.61
index13.jpg,Laplacian,4.08,0.00
index13.jpg,SMD,233.30,0.00
index13.jpg,SMD,15498.87,15.63
index13.jpg,Energy,30931.62,0.00
index13.jpg,Entropy,5.05,0.00
index13.jpg,Vollath,620790453.98,343.75
index13.jpg,NR_Blur,6.79,404.11
index13.jpg,Dom,0.43,500.01
index13.jpg,FFT,0.98,93.76
index14.jpg,Brenner,41766712.00,375.00
index14.jpg,Tenengrad,23.37,0.00
index14.jpg,Laplacian,4.32,0.00
index14.jpg,SMD,222.66,15.63
index14.jpg,SMD,14305.29,0.00
index14.jpg,Energy,28613.70,15.62
index14.jpg,Entropy,4.98,0.00
index14.jpg,Vollath,613465867.03,345.24
index14.jpg,NR_Blur,5.52,422.96
index14.jpg,Dom,0.42,497.81
index14.jpg,FFT,0.99,99.22
index16.jpg,Brenner,24758553.00,355.41
index16.jpg,Tenengrad,11.32,15.61
index16.jpg,Laplacian,2.98,0.00
index16.jpg,SMD,249.68,0.00
index16.jpg,SMD,16529.72,15.64
index16.jpg,Energy,33080.00,0.00
index16.jpg,Entropy,4.53,0.00
index16.jpg,Vollath,303189207.36,357.10
index16.jpg,NR_Blur,6.38,390.61
index16.jpg,Dom,0.56,453.13
index16.jpg,FFT,0.97,93.77
index17.jpg,Brenner,19680970.00,369.49
index17.jpg,Tenengrad,6.96,0.00
index17.jpg,Laplacian,2.18,16.65
index17.jpg,SMD,237.00,3.02
index17.jpg,SMD,15787.72,0.00
index17.jpg,Energy,31574.13,16.15
index17.jpg,Entropy,4.52,4.52
index17.jpg,Vollath,582239806.31,344.70
index17.jpg,NR_Blur,9.41,401.96
index17.jpg,Dom,0.95,425.39
index17.jpg,FFT,0.98,78.13
index18.jpg,Brenner,45713210.00,355.46
index18.jpg,Tenengrad,27.94,15.61
index18.jpg,Laplacian,4.83,0.00
index18.jpg,SMD,244.92,0.00
index18.jpg,SMD,16385.37,0.00
index18.jpg,Energy,32898.88,15.62
index18.jpg,Entropy,4.51,0.00
index18.jpg,Vollath,455963215.08,343.75
index18.jpg,NR_Blur,4.82,406.26
index18.jpg,Dom,0.88,500.01
index18.jpg,FFT,0.91,93.76
index19.jpg,Brenner,21192134.00,359.38
index19.jpg,Tenengrad,10.96,15.61
index19.jpg,Laplacian,2.60,0.00
index19.jpg,SMD,227.86,0.00
index19.jpg,SMD,14811.40,15.62
index19.jpg,Energy,29664.66,0.00
index19.jpg,Entropy,4.84,0.00
index19.jpg,Vollath,613461124.27,406.25
index19.jpg,NR_Blur,6.92,1590.21
index19.jpg,Dom,0.42,2313.45
index19.jpg,FFT,0.99,353.25
index1_part2.jpg,Brenner,331256092.00,1508.07
index1_part2.jpg,Tenengrad,101.40,18.01
index1_part2.jpg,Laplacian,31.96,8.01
index1_part2.jpg,SMD,223.58,26.02
index1_part2.jpg,SMD,16017.70,16.01
index1_part2.jpg,Energy,32103.24,19.01
index1_part2.jpg,Entropy,5.36,28.02
index1_part2.jpg,Vollath,1071821493.04,1113.79
index1_part2.jpg,NR_Blur,2.46,1100.26
index1_part2.jpg,Dom,1.09,1064.75
index1_part2.jpg,FFT,0.25,136.10
index2.jpg,Brenner,19637001.00,809.58
index2.jpg,Tenengrad,8.24,11.01
index2.jpg,Laplacian,2.45,6.00
index2.jpg,SMD,212.25,9.01
index2.jpg,SMD,13470.37,11.01
index2.jpg,Energy,26921.78,11.01
index2.jpg,Entropy,5.04,11.01
index2.jpg,Vollath,741463350.54,939.81
index2.jpg,NR_Blur,9.82,1409.13
index2.jpg,Dom,0.50,1178.84
index2.jpg,FFT,0.99,203.17
index3.jpg,Brenner,21515285.00,702.24
index3.jpg,Tenengrad,7.42,11.01
index3.jpg,Laplacian,2.33,7.00
index3.jpg,SMD,236.52,10.01
index3.jpg,SMD,15880.29,11.01
index3.jpg,Energy,31838.55,10.01
index3.jpg,Entropy,4.50,8.01
index3.jpg,Vollath,622058786.37,674.58
index3.jpg,NR_Blur,4.96,805.57
index3.jpg,Dom,0.75,839.60
index3.jpg,FFT,0.99,149.11
index4.jpg,Brenner,421364462.00,4157.42
index4.jpg,Tenengrad,48.01,57.04
index4.jpg,Laplacian,9.17,29.02
index4.jpg,SMD,363.70,46.03
index4.jpg,SMD,33755.30,51.04
index4.jpg,Energy,67484.38,56.04
index4.jpg,Entropy,4.39,35.02
index4.jpg,Vollath,1260378214.90,2944.11
index4.jpg,NR_Blur,3.50,3502.33
index4.jpg,Dom,1.08,4607.92
index4.jpg,FFT,0.49,788.51
index5.jpg,Brenner,139853591.00,500.36
index5.jpg,Tenengrad,55.60,15.01
index5.jpg,Laplacian,15.64,7.01
index5.jpg,SMD,225.90,11.00
index5.jpg,SMD,15086.19,11.01
index5.jpg,Energy,30352.33,14.01
index5.jpg,Entropy,5.04,13.01
index5.jpg,Vollath,748617683.63,578.41
index5.jpg,NR_Blur,3.17,588.01
index5.jpg,Dom,1.02,832.01
index5.jpg,FFT,0.65,125.10
index6.jpg,Brenner,18569743.00,601.43
index6.jpg,Tenengrad,8.35,10.01
index6.jpg,Laplacian,2.12,5.00
index6.jpg,SMD,240.41,8.00
index6.jpg,SMD,16252.92,8.01
index6.jpg,Energy,32632.69,9.01
index6.jpg,Entropy,4.73,6.00
index6.jpg,Vollath,606017449.80,482.68
index6.jpg,NR_Blur,4.87,642.69
index6.jpg,Dom,0.51,851.60
index6.jpg,FFT,0.99,138.10
index7.jpg,Brenner,32040899.00,513.37
index7.jpg,Tenengrad,14.80,9.01
index7.jpg,Laplacian,3.35,5.01
index7.jpg,SMD,229.17,8.00
index7.jpg,SMD,15263.17,9.01
index7.jpg,Energy,30506.36,8.01
index7.jpg,Entropy,5.11,6.00
index7.jpg,Vollath,704522265.25,455.98
index7.jpg,NR_Blur,6.64,722.08
index7.jpg,Dom,0.40,709.12
index7.jpg,FFT,0.99,109.09
index8.jpg,Brenner,22056420.00,460.57
index8.jpg,Tenengrad,6.67,15.76
index8.jpg,Laplacian,2.29,6.00
index8.jpg,SMD,250.46,10.01
index8.jpg,SMD,16020.43,8.01
index8.jpg,Energy,32033.37,10.01
index8.jpg,Entropy,3.88,1.04
index8.jpg,Vollath,93585834.74,518.39
index8.jpg,NR_Blur,6.12,629.45
index8.jpg,Dom,0.68,766.55
index8.jpg,FFT,0.99,109.09
index9.jpg,Brenner,22668088.00,473.53
index9.jpg,Tenengrad,10.07,0.00
index9.jpg,Laplacian,2.58,15.61
index9.jpg,SMD,231.65,0.00
index9.jpg,SMD,15455.25,15.63
index9.jpg,Energy,31134.06,0.00
index9.jpg,Entropy,4.76,15.62
index9.jpg,Vollath,682010490.81,558.71
index9.jpg,NR_Blur,3.05,568.00
index9.jpg,Dom,0.56,792.57
index9.jpg,FFT,0.99,149.06
timg.jpg,Brenner,1414588691.00,3580.45
timg.jpg,Tenengrad,76.46,57.04
timg.jpg,Laplacian,16.69,31.02
timg.jpg,SMD,226.84,44.07
timg.jpg,SMD,17077.63,46.88
timg.jpg,Energy,34141.30,54.10
timg.jpg,Entropy,5.45,15.63
timg.jpg,Vollath,8297902298.37,3673.26
timg.jpg,NR_Blur,3.01,3349.70
timg.jpg,Dom,0.94,4850.79
timg.jpg,FFT,0.44,871.73
